Country,Geographic region,Area,Capital,GDP,Population,GDP per capita,Other info
United States,North America,9.83 million km^2,"Washington, D.C.",$20.5 trillion,327.2 million,"$62,869.00",
China,Asia,9.6 million km^2,Beijing,$13.6 trillion,1.4 billion,"$18,116.00",
United Kingdom,Europe,"243,610 km^2",London,$2.8 trillion,66.5 million,"$45,741.00",
Russia,Eurasia,17.1 million km^2,Moscow,$1.7 trillion,114.5 million,"$28,797.00",
Germany,Europe,"357,022 km^2",Berlin,$4.0 trillion,82.9 million,"$52,386.00",
France,Europe,"643,801 km^2",Paris,$2.8 trillion,67.0 million,"$45,893.00",
Japan,Asia,"377,915 km^2",Tokyo,$5.0 trillion,126.5 million,"$44,246.00",
Italy,Europe,"301,340 km^2",Rome,$2.1 trillion,60.4 million,"$39,676.00",
Israel,Middle East,"20,770 km^2",Jerusalem,$369.7 billion,8.9 million,"$37,994.00",
Canada,North America,9.98 million km^2,Ottawa,$1.7 trillion,37.1 million,"$49,690.00",
South Korea,Asia,"99,720 km^2",Seoul,$1.6 trillion,51.6 million,"$43,290.00",
United Arab Emirates,Middle East,"83,600 km^2",Abu Dhabi,$414.2 billion,9.6 million,"$69,222.00",
Spain,Europe,"505,370 km^2",Madrid,$1.4 trillion,46.7 million,"$40,172.00",
Saudi Arabia,Middle East,2.15 million km^2,Riyadh,$782.5 billion,33.7 million,"$55,730.00",
India,Asia,3.29 million km^2,New Delhi,$2.7 trillion,1.4 billion,"$7,859.00",
Switzerland,Europe,"41,277 km^2",Bern,$705.5 billion,8.5 million,"$65,010.00",
Australia,Oceania,7.74 million km^2,Canberra,$1.4 trillion,25.0 million,"$52,379.00",
Turkey,Eurasia,"783,562 km^2",Ankara,$766.5 billion,82.3 million,"$28,044.00",
Greece,Europe,"131,957 km^2",Athens,$218.0 billion,10.7 million,"$29,072.00",
Netherlands,Europe,"41,543 km^2",Amsterdam,$913.7 billion,17.2 million,"$56,489.00",
Brazil,South America,8.52 million km^2,Brasilia,$1.9 trillion,209.5 million,"$16,146.00",
Sweden,Europe,"450,295 km^2",Stockholm,$551.0 billion,10.2 million,"$53,652.00",
Egypt,Africa,1 million km^2,Cairo,$250.9 billion,98.4 million,"$13,358.00",
Austria,Europe,"83,871 km^2",Vienna,$455.7 billion,8.8 million,"$52,172.00",
Mexico,South America,1.96 million km^2,Mexico City,$1.2 trillion,126.2 million,"$20,616.00",
Norway,Europe,"323,802 km^2",Oslo,$434.8 billion,5.3 million,"$74,357.00",
Denmark,Europe,"43,094 km^2",Copenhagen,$352.1 billion,5.8 million,"$52,279.00",
